date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:13	48650/48650	---M--	200	added ('OK')	image/jpeg	etag:%225abcd9f6-be0a%22	https://madsparrow.me/emily/assets/images/9a.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/9a.jpg	(from https://madsparrow.me/emily/albums.html)
21:38:17	1164789/1164789	---M--	200	added ('OK')	image/jpeg	etag:%22c793d63b6d532893c47b695e791ea663%22	https://mir-s3-cdn-cf.behance.net/project_modules/1400/bcabe753001729.59248241d5973.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/1400/bcabe753001729.59248241d5973.jpg	(from https://madsparrow.me/emily/gallery.html)
21:38:19	1335591/1335591	---M--	200	added ('OK')	image/jpeg	etag:%22c6e6b9b9f4efb3bfa9d3e174ca41a5ba%22	https://mir-s3-cdn-cf.behance.net/project_modules/1400/2c27c153001729.59248241d41dc.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/1400/2c27c153001729.59248241d41dc.jpg	(from https://madsparrow.me/emily/gallery.html)
21:38:23	1052017/1052017	---M--	200	added ('OK')	image/jpeg	etag:%2276c07cbaa3acfa4d204e1dcdb60293f9%22	https://mir-s3-cdn-cf.behance.net/project_modules/1400/2f27f953001729.59248241d457b.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/1400/2f27f953001729.59248241d457b.jpg	(from https://madsparrow.me/emily/gallery.html)
21:38:26	1770362/1770362	---M--	200	added ('OK')	image/jpeg	etag:%22674c00b890aa781c96db2b65fc205721%22	https://mir-s3-cdn-cf.behance.net/project_modules/max_1200/9cb5b453001729.59248241d6716.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/max_1200/9cb5b453001729.59248241d6716.jpg	(from https://madsparrow.me/emily/gallery.html)
21:38:26	2226101/2226101	---M--	200	added ('OK')	image/jpeg	etag:%22a734308d1b439a2ca54743e01bfcd121%22	https://mir-s3-cdn-cf.behance.net/project_modules/1400/e38eaa53001729.59248241d525e.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/1400/e38eaa53001729.59248241d525e.jpg	(from https://madsparrow.me/emily/gallery.html)
21:38:26	1642225/1642225	---M--	200	added ('OK')	image/jpeg	etag:%221d3ccc72c6e899546dae907ee34c3139%22	https://mir-s3-cdn-cf.behance.net/project_modules/max_1200/d479cc53001729.59248241d5d18.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/max_1200/d479cc53001729.59248241d5d18.jpg	(from https://madsparrow.me/emily/gallery.html)
21:38:27	1322490/1322490	---M--	200	added ('OK')	image/jpeg	etag:%22dbb56565db8f59cdce8eaccb167cd762%22	https://mir-s3-cdn-cf.behance.net/project_modules/1400/c5274053001729.59248241d603d.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/1400/c5274053001729.59248241d603d.jpg	(from https://madsparrow.me/emily/gallery.html)
21:38:28	8190/8190	---MCZ	200	added ('OK')	text/html	etag:W/%225a61e7a5-1ffe%22	https://madsparrow.me/emily/blog-single-page.html	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/blog-single-page.html	(from https://madsparrow.me/emily/blog.html)
21:38:31	183194/183194	---M--	200	added ('OK')	image/jpeg	etag:%225abcd9f4-2cb9a%22	https://madsparrow.me/emily/assets/images/10b.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/10b.jpg	(from https://madsparrow.me/emily/blog.html)
21:38:31	94837/94837	---M--	200	added ('OK')	image/jpeg	etag:%225abcd9f5-17275%22	https://madsparrow.me/emily/assets/images/13b.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/13b.jpg	(from https://madsparrow.me/emily/blog.html)
21:38:33	116668/116668	---M--	200	added ('OK')	image/jpeg	etag:%225abcd9f4-1c7bc%22	https://madsparrow.me/emily/assets/images/11b.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/11b.jpg	(from https://madsparrow.me/emily/blog.html)
21:38:33	154636/154636	---M--	200	added ('OK')	image/jpeg	etag:%225abcd9f4-25c0c%22	https://madsparrow.me/emily/assets/images/12b.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/12b.jpg	(from https://madsparrow.me/emily/blog.html)
21:38:34	91951/91951	---M--	200	added ('OK')	image/jpeg	etag:%225abcd9f5-1672f%22	https://madsparrow.me/emily/assets/images/14about.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/14about.jpg	(from https://madsparrow.me/emily/about.html)
21:38:35	161549/161549	---M--	200	added ('OK')	image/jpeg	etag:%225abcd9f7-2770d%22	https://madsparrow.me/emily/assets/images/bsp.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/bsp.jpg	(from https://madsparrow.me/emily/blog-single-page.html)
21:39:06	253993/253993	URF---	200	added ('OK%20(cached)')	image/jpeg		https://madsparrow.me/emily/assets/images/1.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/1.jpg	(from https://madsparrow.me/emily/index.html)
21:39:06	279764/279764	URF---	200	added ('OK%20(cached)')	image/jpeg		https://madsparrow.me/emily/assets/images/2.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/2.jpg	(from https://madsparrow.me/emily/index.html)
21:39:06	123191/123191	URF---	200	added ('OK%20(cached)')	image/jpeg		https://madsparrow.me/emily/assets/images/4.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/4.jpg	(from https://madsparrow.me/emily/index.html)
21:39:06	204467/204467	URF---	200	added ('OK%20(cached)')	image/jpeg		https://madsparrow.me/emily/assets/images/3.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/3.jpg	(from https://madsparrow.me/emily/index.html)
21:39:07	10280/10280	---M--	200	added ('OK')	image/gif	etag:%225abcd9f9-2828%22	https://madsparrow.me/emily/assets/images/loader_skype_trans.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader_skype_trans.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:08	86659/86659	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225abcd9fa-15283%22	https://madsparrow.me/emily/assets/js/jquery-3.2.1.min.js	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/js/jquery-3.2.1.min.js	(from https://madsparrow.me/emily/index.html)
